date (utc),logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"January 19, 2021 at 10:08:41 PM",120.66 KB,0.2921820708825573,0,0,0,0
"January 20, 2021 at 10:08:41 PM",121.13 KB,0.29061342592592593,0,0,0,0
"January 21, 2021 at 10:09:41 PM",121.22 KB,0.2959056210964608,0,0,0,0
"January 22, 2021 at 10:09:41 PM",121.29 KB,0.2917592592592593,0,0,0,0
"January 23, 2021 at 10:09:41 PM",121.39 KB,0.3001273148148148,0,0,0,0
"January 24, 2021 at 10:09:41 PM",121.39 KB,0.2928587962962963,0,0,0,0
"January 25, 2021 at 10:09:41 PM",121.39 KB,0.2799537037037037,0,0,0,0
"January 26, 2021 at 10:09:41 PM",121.52 KB,0.29153935185185187,0,0,0,0
"January 27, 2021 at 10:08:41 PM",121.41 KB,0.2921241602965022,0,0,0,0
"January 28, 2021 at 10:42:41 AM",121.37 KB,0.2918656056587091,0,0,0,0
"January 28, 2021 at 10:08:41 PM",121.37 KB,0.29385325558794945,???,???,0,0
"January 29, 2021 at 10:09:42 PM",120.76 KB,???,???,???,0,0
"January 30, 2021 at 10:09:42 PM",120.45 KB,0.29113425925925923,0.026087962962962962,0.008819444444444444,0,0
"January 31, 2021 at 10:09:42 PM",120.52 KB,0.2919791666666667,0.026412037037037036,0.007152777777777778,0,0
"February 1, 2021 at 8:09:42 PM",120.55 KB,0.29271464646464646,0.04981060606060606,0.007803030303030303,0,0
"February 2, 2021 at 10:08:42 PM",120.59 KB,0.29216378020098355,0.05406243318366474,0.009119093435963224,0,0
"February 3, 2021 at 10:08:42 PM",120.68 KB,0.2889699074074074,0.050902777777777776,0.007534722222222222,0,0
"February 4, 2021 at 10:08:42 PM",120.83 KB,0.29146989728692485,0.05261573891380537,0.008090277496865365,???,0
"February 5, 2021 at 10:08:42 PM",120.92 KB,0.29182871383664516,0.05326389073832954,0.008692129931439696,0,0
"February 6, 2021 at 10:08:42 PM",120.99 KB,0.2911111111111111,0.04653935185185185,0.007476851851851852,0,0
"February 7, 2021 at 10:08:42 PM",121.00 KB,0.2928703703703704,0.06753472222222222,0.014918981481481481,0,0
"February 8, 2021 at 10:09:42 PM",121.06 KB,0.2924820726347444,0.050994679620633816,0.007795512375665048,0,0
"February 9, 2021 at 10:08:42 PM",121.08 KB,0.29129024785730834,0.06138522121843873,0.008107482047718323,0,???
"February 10, 2021 at 10:08:42 PM",121.13 KB,0.2906828703703704,0.053495370370370374,0.008113425925925927,0,0
"February 11, 2021 at 10:08:42 PM",121.13 KB,0.28903935185185187,0.06381944444444444,0.01019675925925926,0,0
"February 12, 2021 at 10:09:42 PM",121.17 KB,0.2915336571825121,0.06615776081424936,0.008859588248901226,0,0
"February 13, 2021 at 10:08:42 PM",121.26 KB,0.29117442668519805,0.062462358119064164,0.008454945564049108,0,0.000011582117211026175
"February 14, 2021 at 10:09:42 PM",121.31 KB,0.2911057136247976,0.058223455933379596,0.009611380985426786,0,0
"February 15, 2021 at 10:09:42 PM",121.31 KB,0.29270833333333335,0.059895833333333336,0.008854166666666666,0,0
"February 16, 2021 at 10:08:42 PM",121.32 KB,0.288047255038221,0.07118369237896688,0.008918230252490155,0,0
"February 17, 2021 at 10:09:42 PM",121.34 KB,0.2924358084663428,0.07009021512838307,0.008755493869997686,0.000011566042100393246,0
"February 18, 2021 at 10:09:42 PM",121.34 KB,0.28952546296296294,0.06774305555555556,0.008344907407407407,0,0
"February 19, 2021 at 10:09:42 PM",121.61 KB,0.29204861111111113,0.08590277777777777,0.009710648148148149,0,0.000011574074074074073
"February 20, 2021 at 10:09:42 PM",121.08 KB,0.29518518518518516,0.0775,0.008101851851851851,0,0.000011574074074074073
"February 21, 2021 at 10:08:42 PM",121.09 KB,0.29166087560806114,0.0753532545749363,0.0076210331248552235,0,0
"February 22, 2021 at 9:08:42 PM",121.14 KB,0.2926328502415459,0.07028985507246377,0.007995169082125603,0,0
"February 23, 2021 at 10:08:41 PM",121.17 KB,???,???,???,???,???
"February 24, 2021 at 1:12:41 AM",121.17 KB,0.29347826086956524,0.10661231884057971,0.011231884057971014,0,0
"February 24, 2021 at 10:08:41 PM",109.69 KB,0.29174628450106155,0.0001592356687898089,0.00001326963906581741,0,0
"February 25, 2021 at 10:08:41 PM",109.41 KB,0.2616898148148148,0,0,0,0
"February 26, 2021 at 10:08:41 PM",110.66 KB,0.2897222222222222,0,0,0,0
"February 27, 2021 at 10:09:41 PM",117.42 KB,0.2918922044876243,0,0,0,0
"February 28, 2021 at 10:08:41 PM",117.48 KB,0.2924021311095668,0,0,0,0
"March 1, 2021 at 9:08:41 PM",117.60 KB,0.29003623188405797,0,0,0,0
"March 2, 2021 at 10:09:41 PM",117.45 KB,0.2924383744170553,0,0,0,0
"March 3, 2021 at 10:09:41 PM",117.45 KB,0.29136574074074073,0,0,0,0
"March 4, 2021 at 10:08:42 PM",117.45 KB,???,???,???,0,0
"March 5, 2021 at 10:08:42 PM",117.45 KB,0.29239583333333335,0,0,0,0
"March 6, 2021 at 10:08:42 PM",117.41 KB,0.29215277777777776,0,0,0,0
