date (utc),connections,logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"December 7, 2020 at 10:09:41 PM",126.97 KB,0.1713971778857275,0,0,0,0
"December 8, 2020 at 10:09:41 PM",127.11 KB,0.1945949074074074,0,0,0,0
"December 9, 2020 at 10:09:41 PM",127.35 KB,0.19289351851851852,0,0,0,0
"December 10, 2020 at 10:09:41 PM",127.37 KB,0.1772337962962963,0,0,0,0
"December 11, 2020 at 10:09:41 PM",127.24 KB,0.18208333333333335,0,0,0,0
"December 12, 2020 at 10:08:41 PM",127.36 KB,0.1938498957609451,0,0,0,0
"December 13, 2020 at 10:08:41 PM",127.29 KB,0.17400462962962962,0,0,0,0
"December 14, 2020 at 10:09:41 PM",128.27 KB,0.1898681471200555,0,0,0,0
"December 15, 2020 at 10:09:41 PM",128.70 KB,0.18432870370370372,0,0,0,0
"December 16, 2020 at 10:09:41 PM",129.17 KB,0.1829398148148148,0,0,0,0
"December 17, 2020 at 10:09:41 PM",127.08 KB,0.15155092592592592,0,0,0,0
"December 18, 2020 at 10:09:41 PM",120.45 KB,0.17032407407407407,0,0,0,0
"December 19, 2020 at 1:16:41 AM",120.73 KB,0.19367201426024955,0,0,0,0
"December 19, 2020 at 10:09:42 PM",120.59 KB,???,0,0,0,0
"December 20, 2020 at 10:08:42 PM",120.47 KB,0.19841324994208942,0,0,0,0
"December 21, 2020 at 10:08:42 PM",120.45 KB,0.16512731481481482,0,0,0,0
"December 21, 2020 at 11:08:42 PM",120.46 KB,0.1925,0,0,0,0
"December 22, 2020 at 10:08:42 PM",120.83 KB,0.1614734299516908,0,0,0,0
"December 23, 2020 at 10:09:42 PM",120.87 KB,0.11800832755031228,0,0,0,0
"December 24, 2020 at 10:08:42 PM",120.61 KB,0.10112346536946953,0,0,0,0
"December 25, 2020 at 10:08:42 PM",120.31 KB,0.17722222222222223,0,0,0,0
"December 26, 2020 at 10:08:42 PM",120.06 KB,0.1725810185185185,0,0,0,0
"December 27, 2020 at 10:09:42 PM",120.06 KB,0.19115197779319917,0,0,0,0
"December 28, 2020 at 10:08:42 PM",120.13 KB,0.24781097984711606,0,0,0,0
"December 29, 2020 at 10:08:42 PM",120.18 KB,0.2800925925925926,0,0,0,0
"December 30, 2020 at 10:08:42 PM",120.18 KB,0.2470138888888889,0,0,0,0
"December 31, 2020 at 10:09:42 PM",120.30 KB,0.2852764284061994,0,0,0,0
"January 1, 2021 at 10:08:42 PM",120.45 KB,0.326117674310864,0,0,0,0
"January 2, 2021 at 10:08:42 PM",120.60 KB,0.2944212962962963,0,0,0,0
"January 3, 2021 at 10:08:42 PM",120.51 KB,0.2920601851851852,0,0,0,0
"January 4, 2021 at 10:08:42 PM",120.69 KB,0.29193287037037036,0,0,0,0
"January 5, 2021 at 10:09:41 PM",120.70 KB,???,0,0,0,0
"January 6, 2021 at 10:08:41 PM",120.46 KB,0.29042158906648136,0,0,0,0
"January 7, 2021 at 1:16:41 AM",120.65 KB,0.29148936170212764,0,0,0,0
"January 7, 2021 at 10:08:41 PM",120.79 KB,0.2919062832800852,0,0,0,0
"January 8, 2021 at 10:08:41 PM",120.97 KB,0.29488425925925926,0,0,0,0
"January 9, 2021 at 10:08:41 PM",120.90 KB,0.2903472222222222,0,0,0,0
"January 10, 2021 at 10:08:41 PM",120.74 KB,0.2885185185185185,0,0,0,0
"January 11, 2021 at 10:08:41 PM",120.21 KB,0.2905439814814815,0,0,0,0
"January 12, 2021 at 10:09:41 PM",120.54 KB,0.2914758269720102,0,0,0,0
"January 13, 2021 at 10:09:41 PM",120.80 KB,0.2916898148148148,0,0,0,0
"January 14, 2021 at 10:08:41 PM",120.75 KB,0.29215890664813526,0,0,0,0
"January 15, 2021 at 10:09:41 PM",120.32 KB,0.2925746009715475,0,0,0,0
"January 16, 2021 at 10:09:41 PM",120.12 KB,0.28847222222222224,0,0,0,0
"January 17, 2021 at 1:25:41 AM",119.61 KB,0.2870748299319728,0,0,0,0
"January 17, 2021 at 10:09:41 PM",119.73 KB,???,0,0,0,0
"January 18, 2021 at 10:08:41 PM",120.29 KB,0.2925179522816771,0,0,0,0
"January 19, 2021 at 10:09:41 PM",120.66 KB,0.292146657413833,0,0,0,0
"January 20, 2021 at 10:09:41 PM",121.13 KB,0.29061342592592593,0,0,0,0
"January 21, 2021 at 10:08:41 PM",121.22 KB,0.2959230947417188,0,0,0,0
"January 22, 2021 at 10:08:41 PM",121.29 KB,0.2917361111111111,0,0,0,0
"January 23, 2021 at 10:09:41 PM",121.39 KB,0.3001272264631043,0,0,0,0
"January 24, 2021 at 10:09:41 PM",121.39 KB,0.29280092592592594,0,0,0,0
"January 25, 2021 at 10:09:41 PM",121.39 KB,0.28,0,0,0,0
"January 26, 2021 at 10:08:41 PM",121.52 KB,0.29154505105924194,0,0,0,0
"January 27, 2021 at 10:09:41 PM",121.41 KB,0.2921582268350477,0,0,0,0
"January 28, 2021 at 10:42:41 AM",121.37 KB,0.2918548030101815,0,0,0,0
